,1,2,3,4,5,6
06.12.2017,32002,22001,32002,32002,32002,32002
05.12.2017,32002,22001,32002,32002,32002,32002
04.12.2017,21100,21100,21100,21100,21100,21100
03.12.2017,21002,21002,21002,21002,21002,21002
02.12.2017,21002,21002,21002,21002,21002,21002
01.12.2017,32002,22001,32002,22001,22001,32002
02.05.2017,22001,22001,22001,22001,22001,22001
01.05.2017,22001,22001,22001,22001,22001,22001
30.04.2017,22001,22001,22001,22001,22001,22001
29.04.2017,22001,22001,22001,22001,22001,22001
28.04.2017,21002,11001,21002,11001,11001,21002
27.04.2017,21002,11001,21002,11001,11001,21002
26.04.2017,22001,22001,22001,22001,22001,22001
25.04.2017,21010,11113,21010,11113,11113,21010
24.04.2017,21010,21010,21010,21010,21010,21010
23.04.2017,21002,21002,21002,21002,21002,21002
22.04.2017,22001,22001,22001,22001,22001,22001
21.04.2017,33001,33001,33001,33001,33001,33001
20.04.2017,33001,33001,33001,33001,33001,33001
19.04.2017,33001,33001,33001,33001,33001,33001
18.04.2017,33001,33001,33001,33001,33001,33001
17.04.2017,32002,32002,32002,22001,22001,32002
16.04.2017,21002,21002,21002,11001,11001,21002
15.04.2017,11001,11001,11001,11001,11001,11001
14.04.2017,11001,11001,11001,11001,11001,11001
13.04.2017,11001,11001,11001,11001,11001,11001
12.04.2017,11104,11001,11104,11001,11001,11104
11.04.2017,11001,11001,11001,11001,11001,11001
07.04.2017,11104,11001,11104,11001,11001,11104
06.04.2017,11001,11001,11001,11001,11001,11001
05.04.2017,11001,11001,11001,11001,11001,11001
04.04.2017,11001,11001,11001,11001,11001,11001
03.04.2017,11104,11001,11104,11001,11001,11104
01.04.2017,11104,11001,11104,11001,11001,11104
28.03.2017,11104,11001,11104,11001,11001,11104
27.03.2017,11104,11001,11104,11001,11001,11104
26.03.2017,11113,11001,11104,11001,11001,11104
25.03.2017,11113,11001,11104,11001,11001,11104
24.03.2017,21010,11001,21002,11001,11001,21002
23.03.2017,21010,11001,21002,11001,11001,21002
22.03.2017,21002,11001,21002,11001,11001,21002
21.03.2017,21002,21002,21002,21002,21002,21002
20.03.2017,22015,22001,22015,22001,22001,22015
19.03.2017,33001,33001,33001,33001,33001,33001
18.03.2017,22104,22104,21110,11113,11113,21110
17.03.2017,22001,22001,22001,22001,22001,22001
16.03.2017,21010,21010,21010,11113,11113,21010
15.03.2017,21002,21002,21002,11001,11001,21002
14.03.2017,21002,21002,21002,11001,11001,21002
13.03.2017,21002,21002,21002,21002,21002,21002
12.03.2017,31002,21002,31002,21002,21002,31002
11.03.2017,32002,32002,32002,32002,32002,32002
10.03.2017,42002,32002,42002,32002,32002,42002
09.03.2017,33001,33001,33001,33001,33001,33001
08.03.2017,32002,32002,32002,32002,32002,32002
07.03.2017,32002,31002,31002,21002,21002,21002
06.03.2017,32002,11001,21002,11001,11001,21002
05.03.2017,21002,11001,21002,11001,11001,21002
04.03.2017,22001,11113,22001,11113,11113,22001
03.03.2017,32002,22001,22001,22001,22001,22001
02.03.2017,32002,22001,22001,22001,22001,22001
01.03.2017,31002,21002,31002,21002,21002,31002
28.02.2017,21010,11001,21002,11001,11001,21002
27.02.2017,21002,21002,21002,11001,11001,21002
26.02.2017,21010,21010,21010,21010,21010,21010
25.02.2017,21002,21002,21002,21002,21002,21002
24.02.2017,21002,21002,21002,21002,21002,21002
23.02.2017,22015,22015,22015,22015,22015,22015
22.02.2017,33001,33001,33001,33001,33001,33001
21.02.2017,32010,32010,32010,22113,22113,32010
20.02.2017,21002,21002,21002,21002,21002,21002
19.02.2017,32002,22001,22001,22001,22001,22001
18.02.2017,32002,32002,32002,32002,32002,32002
17.02.2017,21110,11104,11104,11104,11104,11104
16.02.2017,11001,11001,11001,11001,11001,11001
15.02.2017,11015,11001,11001,11001,11001,11001
14.02.2017,11001,11001,11001,11001,11001,11001
13.02.2017,11001,11001,11001,11001,11001,11001
12.02.2017,21002,11001,11001,11001,11001,11001
11.02.2017,21002,11001,11001,11001,11001,11001
10.02.2017,21002,11001,11001,11001,11001,11001
09.02.2017,21002,11001,21002,11001,11001,21002
08.02.2017,21002,11001,21002,11001,11001,21002
07.02.2017,21002,11001,21002,11001,11001,21002
06.02.2017,21002,21002,21002,11001,11001,21002
05.02.2017,21002,21002,21002,11001,11001,21002
04.02.2017,21010,21010,21010,11001,11001,21002
03.02.2017,32002,22001,31002,11001,11001,21002
02.02.2017,33001,33001,33001,22001,22001,22001
01.02.2017,33001,33001,33001,23002,23002,23002
31.01.2017,22015,22001,22001,22001,22001,22001
30.01.2017,11015,11001,11001,11001,11001,11001
29.01.2017,11001,11001,11001,11001,11001,11001
28.01.2017,11001,11001,11001,11001,11001,11001
27.01.2017,11001,11001,11001,11001,11001,11001
26.01.2017,21002,11001,21002,11001,11001,21002
25.01.2017,21002,11001,21002,11001,11001,21002
24.01.2017,21002,21002,21002,21002,21002,21002
23.01.2017,21002,21002,21002,21002,21002,21002
22.01.2017,21010,21010,21010,21010,21010,21010
21.01.2017,21010,21010,21010,21010,21010,21010
20.01.2017,21010,21002,21002,21002,21002,21002
19.01.2017,32002,31002,31002,31002,31002,31002
18.01.2017,32002,32002,32002,32002,32002,32002
17.01.2017,32010,32002,32002,32002,32002,32002
16.01.2017,32002,32002,32002,32002,32002,32002
15.01.2017,32002,32002,32002,32002,32002,32002
14.01.2017,32100,31002,31002,31002,31002,31002
13.01.2017,32002,31002,31002,31002,31002,31002
12.01.2017,32002,31002,31002,31002,31002,31002
11.01.2017,21002,21002,21002,21002,21002,21002
10.01.2017,32002,22001,32002,22001,22001,32002
09.01.2017,32002,32002,32002,32002,32002,32002
08.01.2017,32002,32002,32002,32002,32002,32002
07.01.2017,32002,22001,32002,22001,22001,32002
06.01.2017,32002,32002,32002,32002,32002,32002
05.01.2017,32002,32002,32002,32002,32002,32002
04.01.2017,21110,21110,21110,21110,21110,21110
02.05.2016,21002,21002,21002,21002,21002,21002
30.04.2016,21002,21002,21002,21002,21002,21002
27.04.2016,21002,21002,21002,11001,11001,21002
25.04.2016,21002,21002,21002,11001,11001,21002
24.04.2016,21002,11001,21002,11001,11001,21002
22.04.2016,11001,11001,11001,11001,11001,11001
18.04.2016,21002,21002,21002,11001,11001,21002
16.04.2016,11001,11001,11001,11001,11001,11001
11.04.2016,11104,11001,11001,11001,11001,11001
10.04.2016,11104,11001,11001,11001,11001,11001
09.04.2016,11001,11001,11001,11001,11001,11001
08.04.2016,11001,11001,11001,11001,11001,11001
07.04.2016,11104,11104,11104,11104,11104,11104
06.04.2016,21002,21002,21002,21002,21002,21002
05.04.2016,21110,21110,21110,11113,11113,21110
04.04.2016,32002,32002,32002,22001,22001,32002
03.04.2016,22104,22104,22104,22104,22104,22104
02.04.2016,23002,23002,23002,23002,23002,23002
01.04.2016,23002,23002,23002,23002,23002,23002
31.03.2016,22015,22015,22015,22015,22015,22015
30.03.2016,22001,22001,22001,22001,22001,22001
29.03.2016,22001,22001,22001,22001,22001,22001
28.03.2016,21010,21010,21010,21010,21010,21010
27.03.2016,22015,22015,22015,22015,22015,22015
26.03.2016,32010,32010,32010,32010,32010,32010
25.03.2016,11104,11104,21002,11001,11001,21002
24.03.2016,11001,11001,21002,11001,11001,21002
23.03.2016,11001,11001,11001,11001,11001,11001
22.03.2016,11001,11001,11001,11001,11001,11001
21.03.2016,11015,11001,11001,11001,11001,11001
20.03.2016,11113,11113,11113,11113,11113,11113
19.03.2016,21010,21010,21010,11113,11113,21010
18.03.2016,21010,21002,21002,21002,21002,21002
17.03.2016,21010,21010,21010,21010,21010,21010
16.03.2016,32002,32002,32002,22001,22001,32002
15.03.2016,21002,11001,21002,11001,11001,21002
14.03.2016,21010,11001,21002,11001,11001,21002
13.03.2016,21002,11001,21002,11001,11001,21002
12.03.2016,21002,21002,21002,21002,21002,21002
11.03.2016,22001,22001,21002,21002,21002,21002
10.03.2016,21010,21010,21002,21002,21002,21002
09.03.2016,21010,21002,21002,21002,21002,21002
08.03.2016,22001,21002,21002,21002,21002,21002
07.03.2016,22001,22001,21002,21002,21002,21002
06.03.2016,32002,32002,32002,22001,22001,32002
05.03.2016,32002,32002,32002,32002,32002,32002
04.03.2016,22001,22001,21010,21010,21010,21010
03.03.2016,32002,32002,31002,31002,31002,31002
02.03.2016,32002,32002,32002,32002,31002,31002
01.03.2016,21002,21002,21002,21002,21002,21002
29.02.2016,21002,11001,21002,11001,11001,11001
