iter	Passed	Remaining
405	7082	10362
406	7101	10346
407	7122	10334
408	7137	10312
409	7148	10287
410	7163	10266
411	7179	10246
412	7193	10223
413	7212	10208
414	7231	10193
415	7246	10172
416	7261	10152
417	7275	10130
418	7289	10108
419	7302	10084
420	7326	10075
421	7339	10052
422	7360	10040
423	7379	10025
424	7392	10001
425	7409	9983
426	7424	9962
427	7443	9948
428	7461	9931
429	7479	9914
430	7491	9890
431	7515	9881
432	7535	9867
433	7554	9851
434	7574	9837
435	7590	9818
436	7605	9798
437	7621	9778
438	7633	9755
439	7646	9732
440	7660	9710
441	7676	9691
442	7693	9673
443	7714	9660
444	7727	9637
445	7741	9615
446	7756	9596
447	7774	9579
448	7790	9560
449	7810	9546
450	7825	9526
451	7838	9503
452	7855	9485
453	7871	9466
454	7886	9445
455	7902	9427
456	7920	9411
457	7939	9395
458	7955	9377
459	7971	9357
460	7986	9337
461	8001	9317
462	8017	9298
463	8036	9283
464	8058	9271
465	8073	9252
466	8089	9232
467	8105	9214
468	8119	9192
469	8132	9170
470	8153	9157
471	8172	9141
472	8186	9120
473	8203	9103
474	8217	9082
475	8237	9067
476	8264	9061
477	8282	9044
478	8301	9029
479	8318	9011
480	8330	8989
481	8352	8975
482	8367	8956
483	8383	8938
484	8402	8921
485	8416	8901
486	8429	8879
487	8442	8857
488	8458	8839
489	8475	8821
490	8489	8800
491	8508	8784
492	8526	8768
493	8538	8745
494	8555	8728
495	8567	8705
496	8579	8683
497	8595	8664
498	8609	8644
499	8629	8629
500	8647	8612
501	8663	8594
502	8676	8573
503	8694	8556
504	8710	8537
505	8722	8515
506	8732	8491
507	8760	8485
508	8774	8464
509	8790	8445
510	8807	8428
511	8819	8405
512	8831	8383
513	8847	8365
514	8866	8349
515	8881	8330
516	8896	8311
517	8910	8291
518	8923	8270
519	8941	8253
520	8955	8233
521	8969	8213
522	8979	8189
523	8995	8171
524	9009	8151
525	9024	8132
526	9039	8112
527	9055	8095
528	9068	8074
529	9082	8053
530	9095	8033
531	9112	8016
532	9126	7996
533	9142	7978
534	9157	7959
535	9173	7941
536	9189	7923
537	9203	7903
538	9219	7885
539	9240	7871
