iter	Accuracy	MultiClass
191	0.914556962	0.3596520967
192	0.9161392405	0.3580941678
193	0.917721519	0.3567615342
194	0.9193037975	0.3546095441
195	0.9193037975	0.3534050926
196	0.9208860759	0.3521737627
197	0.9208860759	0.3510010139
198	0.9224683544	0.350334014
199	0.9240506329	0.3492542736
200	0.9224683544	0.3484009286
201	0.9240506329	0.3469873297
202	0.9224683544	0.3455507027
203	0.9240506329	0.3448175513
204	0.9240506329	0.3432999056
205	0.9256329114	0.3414540351
206	0.9256329114	0.3402402744
207	0.9256329114	0.339298126
208	0.9272151899	0.337811188
209	0.9272151899	0.3368519601
210	0.9272151899	0.3356069226
211	0.9272151899	0.3350318372
212	0.9272151899	0.3335507622
213	0.9272151899	0.3333114339
214	0.9287974684	0.3324053053
215	0.9303797468	0.3310533802
216	0.9319620253	0.3298273591
217	0.9319620253	0.3296178273
218	0.9351265823	0.3287363843
219	0.9351265823	0.3280805468
220	0.9351265823	0.3272719645
221	0.9351265823	0.3263216181
222	0.9351265823	0.3249198045
223	0.9351265823	0.3240220449
224	0.9351265823	0.3228838939
225	0.9351265823	0.3217426628
226	0.9367088608	0.3211454178
227	0.9367088608	0.3207077544
228	0.9382911392	0.3194178504
229	0.9382911392	0.3188553497
230	0.9398734177	0.3173780477
231	0.9398734177	0.3162830494
232	0.9398734177	0.3153884924
233	0.9414556962	0.3140891391
234	0.9414556962	0.3135625161
235	0.9398734177	0.3128875334
236	0.9398734177	0.3113114126
237	0.9398734177	0.3102390517
238	0.9414556962	0.3089910618
239	0.9414556962	0.3083524442
240	0.9414556962	0.3080216567
241	0.9430379747	0.3073397916
242	0.9430379747	0.3056454145
243	0.9462025316	0.3047303646
244	0.9462025316	0.3033727576
245	0.9462025316	0.3027096071
246	0.9462025316	0.3015170091
247	0.9462025316	0.3012689177
248	0.9462025316	0.2998159853
249	0.9493670886	0.2988185776
250	0.9509493671	0.2977071968
251	0.9525316456	0.2966391804
252	0.9541139241	0.2954604807
253	0.9541139241	0.2945253588
254	0.9541139241	0.2938070864
255	0.9556962025	0.2927184065
256	0.9541139241	0.2923761922
257	0.9541139241	0.2917093174
258	0.9556962025	0.2907216749
259	0.9556962025	0.2893842949
260	0.9556962025	0.2888976045
261	0.9556962025	0.2881730242
262	0.9556962025	0.2871139128
263	0.9556962025	0.2869369443
264	0.9556962025	0.2858815768
265	0.9556962025	0.2850521304
266	0.9588607595	0.2838742135
267	0.9588607595	0.2827853073
268	0.960443038	0.2816248228
269	0.960443038	0.2809248083
270	0.9620253165	0.2806441702
271	0.9588607595	0.2797648181
272	0.9620253165	0.2788303808
273	0.9620253165	0.2778651295
274	0.960443038	0.277303828
275	0.9636075949	0.2761497731
276	0.9651898734	0.2753665779
277	0.9651898734	0.2747158385
278	0.9651898734	0.2741574429
279	0.9636075949	0.2728984568
280	0.9651898734	0.272520642
281	0.9683544304	0.2713280722
282	0.9683544304	0.2706636713
283	0.9683544304	0.269782701
284	0.9683544304	0.2686865004
285	0.9683544304	0.2681539473
286	0.9683544304	0.2676334486
287	0.9683544304	0.2668386657
288	0.9683544304	0.2662168407
289	0.9683544304	0.2658497715
290	0.9683544304	0.2649545976
291	0.9683544304	0.263952951
